,event_type,reason,event_source,start_time,end_time,loc_name,cycle,begin_end,ref_point,ref_point_type,description,is_sure,speed,available,occupy,weather,city,"link_info(json格式[{""navids"":""id;id"";""directions"":""dir;dir""}","额外信息(json格式[{""id-name-alias-dir"":""id;name;alias;dir"";""url"":""sogouurl""};{""id-name-alias-dir"":""id;name;alias;dir"";""url"":""sogouurl""}])"
0,,1,1：福建高速公路,1474524505000,0,S35|福诏高速,,,"117.495 ,24.5315",4,S35线福诏高速漳州段广东往漳州方向K14处（过南靖收费所约6公里）发生交通事故，占用超车道，该路段目前单车道通行，请途经车辆谨慎驾驶，提前减速。,0,,,,,,"[{""navids"":""14943219;14943215"";""directions"":""2;2""};{""navids"":""14943224;14943225"";""directions"":""2;2""}]",
1,,1,1：福建高速公路,1474295442000,0,S35|福诏高速,,,"118.614 ,25.3051",4,S35线福诏高速莆田段泉州往仙游方向BK114+900处（距龙华收费站约5公里），因发生边坡溜方事件，该路段目前单车道通行，道路通行比较缓慢，请途经车辆谨慎驾驶，提前减速。,0,,,,,,"[{""navids"":""95252503;95252502;95252486"";""directions"":""3;2;3""};{""navids"":""95252484;95252500;95252501"";""directions"":""2;2;2""}]",
2,,1,1：福建高速公路,1473982158000,0,S12|莆永高速,,,"118.323 ,25.2948",4,S12线莆永高速泉州段龙岩往莆田方向K109-K108+600处(距永春东收费站约1公里)，正在养护施工，占用紧急停车道，该路段目前超车道、主车道通行，请途经车辆谨慎驾驶。,0,,,,,,"[{""navids"":""14943504;14943506;14943507;14943510;14943514;14943516;14943554"";""directions"":""2;2;2;2;2;2;2""};{""navids"":""14943586;14943520;14943518;14943512;14943508;14943500"";""directions"":""3;3;3;2;3;3""}]",
3,,1,1：福建高速公路,1473915471000,0,G1502|泉州环城高速,,,"118.596 ,24.9717",4,G1502线泉州环城高速南安往惠安方向及惠安往南安方向K13（距洛江收费站约2公里）、南安往惠安方向及惠安往南安方向K14（距洛江收费站约1公里）发生地质灾害，占用紧急停车道、超车道，该路段目前主、慢车道可正常通行，请途经车辆谨慎驾驶。,0,,,,,,"[{""navids"":""14666862;49320849;689889"";""directions"":""2;2;2""};{""navids"":""689888;12511786;40221680"";""directions"":""3;2;3""}]",
4,,1,1：福建高速公路,1468060801000,0,S35|S35线沈海复线,,,"118.607 ,25.2874",4,S35线沈海复线泉州段莆田往泉州方向K117处（距洛江北收费站约5公里），发生地质灾害，事故占用主车道、紧急停车带，该路段目前单车道通行，请途经车辆谨慎驾驶。,0,,,,,,"[{""navids"":""95252668;95252520;95252516"";""directions"":""3;2;3""};{""navids"":""95252518;95252522;95252670"";""directions"":""2;2;2""}]",
5,,2,1:福建高速公路,1474526502000,0,G1514|宁上高速,,,"118.893 ,27.2357",4,G1514线宁上高速政和段武夷山往政和方向K125+480-K125+280（距洞宫山服务区约13公里），正在养护施工，占用主车道，该路段目前单车道通行，请途经车辆谨慎驾驶，提前减速。,0,,,,,,"[{""navids"":""12838412;12838413;12838131;12838132"";""directions"":""2;2;2;2""};{""navids"":""12838130;12838129;12838292;12838415;12838414"";""directions"":""3;3;2;3;3""}]",
6,,2,1:福建高速公路,1474525957000,0,S12|莆永高速,,,"118.402 ,25.3604",4,S12线莆永高速泉州段龙岩往莆田方向K97处(垵口隧道内，距永春湖洋收费站约3公里)，正在养护施工，占用主车道，该路段目前单车道通行，请途经车辆谨慎驾驶。,0,,,,,,"[{""navids"":""14943654;14943690;14943691"";""directions"":""2;2;2""};{""navids"":""14943702;14943688;14943658"";""directions"":""3;2;3""}]",
7,,2,1:福建高速公路,1474525808000,0,S12|莆永高速,,,"118.129 ,25.2636",4,S12线莆永高速泉州段龙岩往莆田方向K130-K131+800处(过湖头收费站约8公里)，正在养护施工，占用主车道，该路段目前单车道通行，请途经车辆谨慎驾驶。,0,,,,,,"[{""navids"":""14946425;14947049;14947051"";""directions"":""2;2;2""};{""navids"":""14947053;14947047;14947045"";""directions"":""3;2;3""}]",
8,,2,1:福建高速公路,1474525679000,0,S7221|,,,"118.326 ,25.0316",4,S7221线双安连接线南安往安溪方向K8+300处（距南安西仑苍收费站约3公里），正在养护施工，占用主车道、紧急停车道，该路段目前单车道通行，请途经车辆谨慎驾驶。,0,,,,,,"[{""navids"":""19768261;19768270;19768271;19768252;19768253"";""directions"":""2;2;2;2;2""};{""navids"":""19768255;19768254;19768273;19768275;19768274;19768263"";""directions"":""3;3;2;3;3;3""}]",
9,,2,1:福建高速公路,1474520943000,0,G3|京台高速,,,"118.843 ,26.4294",4,G3线京台高速福州段建瓯往福州方向K1831（距闽清东桥收费站约9公里）—K1867处（距闽侯白沙收费站约500米）正在养护施工，占用应急车道，请途经车辆谨慎驾驶，提前减速。,0,,,,,,"[{""navids"":""57536719;55018135"";""directions"":""3;2""};{""navids"":""55018137;57536721;57536722;55230439"";""directions"":""2;2;2;2""}]",
10,,2,1:福建高速公路,1474520746000,0,S7211|永漳高速,,,"117.486 ,25.7555",4,S7211线永漳高速永安段永安往漳平方向K4处（上坪格隧道内，距新桥收费站约20公里）正在养护施工，占用超车道，该路段目前单车道通行，请途经车辆谨慎驾驶，提前减速。,0,,,,,,"[{""navids"":""51789350;53916491;53916499"";""directions"":""2;2;2""};{""navids"":""53916498;53916490;51789351"";""directions"":""2;2;2""}]",
